Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
26884.03,62,16513.55,155,61.43,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,239085,0.0,4,33,1
24543.51,377,15281.94,817,62.26,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,594568,7.0,2,93,13
25758.13,164,15833.05,387,61.47,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,359554,1.0,6,46,3
32730.02,129,22312.74,287,68.17,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,357595,5.0,4,47,6
47460.06,126,27130.13,395,57.16,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,397899,3.0,7,44,12
69232.45,148,23667.33,509,34.19,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,380669,3.0,5,45,16
37288.35,93,22860.27,327,61.31,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,308639,9.0,4,40,5
82249.0,138,41225.88,526,50.12,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,427540,3.0,6,50,12
44080.74,106,26855.5,360,60.92,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,295034,2.0,5,41,14
32617.6,174,22856.61,568,70.07,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,475852,7.0,3,60,9
66139.42,363,35055.57,1095,53.0,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,669058,1.0,7,89,28
44780.61,182,25212.89,520,56.3,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,492793,0.0,5,64,5
43390.44,133,24815.71,420,57.19,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,387175,0.0,5,44,11
79302.77,43,32875.39,191,41.46,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,235931,2.0,2,34,10
32312.23,113,19917.86,539,61.64,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,489536,1.0,7,66,13
48238.64,22,29052.63,57,60.23,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,161487,6.0,12,36,15
56652.11,28,30391.35,133,53.65,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,129204,2.0,4,31,23
27931.84,110,18232.31,238,65.27,2.9,74.5,81.2,78.8,110.8477666,3.0,1.5488460135849778,415245,1.0,6,48,8
83156.43,313,39475.35,979,47.47,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,554870,1.0,7,77,21
43445.0,266,22837.28,723,52.57,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,484742,0.0,7,60,14
29180.12,85,18221.56,199,62.45,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,338041,1.0,4,34,3
33514.42,250,19941.61,574,59.5,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,561431,2.0,9,80,9
33683.03,159,22237.81,365,66.02,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,517095,1.0,2,55,4
52600.89,112,31709.83,234,60.28,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,366312,3.0,2,42,11
29954.83,222,19804.75,518,66.12,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,422946,3.0,4,54,7
25015.69,72,15797.1,138,63.15,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,239085,0.0,4,33,1
24969.74,611,15967.28,836,63.95,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,594568,7.0,2,93,13
24554.56,248,15867.41,359,64.62,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,359554,1.0,6,46,3
33091.94,171,22358.42,291,67.56,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,357595,5.0,4,47,6
49400.35,193,27390.39,421,55.45,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,397899,3.0,7,44,12
47303.59,148,27749.07,394,58.66,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,380669,3.0,5,45,16
43362.99,176,22721.34,375,52.4,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,308639,9.0,4,40,5
85342.71,255,44903.36,655,52.62,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,427540,3.0,6,50,12
48603.43,148,27582.65,415,56.75,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,295034,2.0,5,41,14
33853.41,247,22635.85,593,66.86,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,475852,7.0,3,60,9
65066.85,534,36661.74,1325,56.34,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,669058,1.0,7,89,28
49999.96,245,26091.65,575,52.18,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,492793,0.0,5,64,5
42697.67,157,24700.48,471,57.85,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,387175,0.0,5,44,11
77835.3,63,32588.98,254,41.87,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,235931,2.0,2,34,10
31664.63,168,21032.69,444,66.42,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,489536,1.0,7,66,13
58410.84,37,31241.94,93,53.49,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,161487,6.0,12,36,15
60047.91,65,31186.27,153,51.94,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,129204,2.0,4,31,23
27074.05,131,18348.1,257,67.77,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,415245,1.0,6,48,8
79201.14,329,42167.17,995,53.24,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,554870,1.0,7,77,21
41626.07,245,22531.75,565,54.13,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,484742,0.0,7,60,14
30721.08,83,19132.32,134,62.28,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,338041,1.0,4,34,3
32025.09,212,19496.31,454,60.88,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,561431,2.0,9,80,9
33430.16,128,22010.16,256,65.84,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,517095,1.0,2,55,4
54232.71,78,32578.34,217,60.07,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,366312,3.0,2,42,11
30399.56,195,20453.32,361,67.28,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,422946,3.0,4,54,7
24587.85,72,15803.12,128,64.27,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,239085,0.0,4,33,1
26344.65,486,16117.38,723,61.18,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,594568,7.0,2,93,13
24510.06,170,16398.34,302,66.9,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,359554,1.0,6,46,3
34034.42,126,22080.24,241,64.88,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,357595,5.0,4,47,6
49826.0,170,28035.17,455,56.27,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,397899,3.0,7,44,12
66311.46,187,27436.47,400,41.38,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,380669,3.0,5,45,16
36286.88,125,22407.37,328,61.75,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,308639,9.0,4,40,5
81146.02,264,45034.14,665,55.5,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,427540,3.0,6,50,12
53848.65,163,27527.92,353,51.12,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,295034,2.0,5,41,14
32887.98,213,22744.99,467,69.16,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,475852,7.0,3,60,9
64298.1,421,37058.49,1081,57.64,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,669058,1.0,7,89,28
45955.43,221,28202.17,533,61.37,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,492793,0.0,5,64,5
41531.74,156,25054.27,402,60.33,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,387175,0.0,5,44,11
73427.8,65,35685.78,218,48.6,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,235931,2.0,2,34,10
37416.68,171,21811.35,373,58.29,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,489536,1.0,7,66,13
56973.36,45,28256.41,78,49.6,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,161487,6.0,12,36,15
51275.0,46,30326.61,124,59.15,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,129204,2.0,4,31,23
27991.2,135,18884.45,234,67.47,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,415245,1.0,6,48,8
84606.32,287,43578.23,1235,51.51,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,554870,1.0,7,77,21
41360.57,203,23536.25,623,56.91,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,484742,0.0,7,60,14
31080.77,52,18033.36,162,58.02,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,338041,1.0,4,34,3
31401.5,204,21980.58,515,70.0,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,561431,2.0,9,80,9
30237.04,137,22861.84,340,75.61,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,517095,1.0,2,55,4
