학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008442,종암중학교,중학교,1981-03-09,공립,본교,운영,서울특별시 성북구 종암동 32-3,서울특별시 성북구 종암로5길 80-17 (종암동.종암중학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.59296625,127.0323728,2023-03-22
B000008110,장안중학교,중학교,1970-03-02,공립,본교,운영,서울특별시 중랑구 중화동 288-26,서울특별시 중랑구 동일로 780 . 장안중학교 (중화동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.60047297,127.0807253,2023-03-22
B000008261,신천중학교,중학교,1975-11-14,공립,본교,운영,서울특별시 송파구 잠실동 19-4,서울특별시 송파구 백제고분로 11 (잠실동. 신천중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.51601726,127.0784453,2023-03-22
B000008098,경희여자중학교,중학교,1963-01-05,사립,본교,운영,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26 (회기동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.59448582,127.0510296,2023-03-22
B000008125,대성중학교,중학교,1969-03-01,사립,본교,운영,서울특별시 은평구 갈현동 267-17,서울특별시 은평구 갈현로29길 51-24 . 대성중학교 (갈현동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.62242855,126.9093902,2023-03-22
B000008169,영서중학교,중학교,1980-03-03,공립,본교,운영,서울특별시 구로구 구로동 145-20,서울특별시 구로구 도림로20길 35 (구로동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.48898188,126.8944604,2023-03-22
B000008456,인수중학교,중학교,1986-03-01,공립,본교,운영,서울특별시 강북구 수유동 551,서울특별시 강북구 인수봉로75길 10 (수유동. 인수중학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.64370939,127.010096,2023-03-22
B000008172,문성중학교,중학교,1990-05-04,공립,본교,운영,서울특별시 금천구 독산동 61,서울특별시 금천구 독산로102길 78 . 문성중학교 (독산동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.47557739,126.9087115,2023-03-22
B000008277,배명중학교,중학교,1934-10-07,사립,본교,운영,서울특별시 송파구 삼전동 172-1,서울특별시 송파구 삼학사로 11 (삼전동.배명중고등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49907172,127.0956466,2023-03-22
B000008203,선덕중학교,중학교,1979-09-15,사립,본교,운영,서울특별시 도봉구 쌍문동 263,서울특별시 도봉구 시루봉로 53 . 선덕중학교 (쌍문동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65620105,127.026702,2023-03-22
B000008366,수서중학교,중학교,1993-03-01,공립,본교,운영,서울특별시 강남구 수서동 710,서울특별시 강남구 광평로59길 57 (수서동.수서중학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.49094076,127.1027736,2023-03-22
B000008274,아주중학교,중학교,1987-03-01,공립,본교,운영,서울특별시 송파구 잠실동 115,서울특별시 송파구 올림픽로4길 69 . 아주중학교 (잠실동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.50492618,127.0761715,2023-03-22
B000008420,한양대학교사범대학부속중학교,중학교,1960-01-18,사립,본교,운영,서울특별시 성동구 사근동 223,서울특별시 성동구 마조로 42 (사근동.한양사대부속중·고등학교),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.56184973,127.0441486,2023-03-22
B000008176,난곡중학교,중학교,1980-05-06,공립,본교,운영,서울특별시 금천구 독산동 906-41,서울특별시 금천구 문성로 67 (독산동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.47765019,126.9106486,2023-03-22
B000008292,강일중학교,중학교,1983-04-15,공립,본교,운영,서울특별시 강동구 암사동 414-17,서울특별시 강동구 고덕로27길 12 (암사동414-17),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.55523391,127.1382586,2023-03-22
B000008152,성산중학교,중학교,1967-10-27,공립,본교,운영,서울특별시 마포구 합정동 365-1,서울특별시 마포구 성지1길 32-13 (합정동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.5471627,126.9158985,2023-03-22
B000008414,동마중학교,중학교,1985-04-26,공립,본교,운영,서울특별시 성동구 마장동 405-45,서울특별시 성동구 마조로11길 18 (마장동),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.56240816,127.0400026,2023-03-22
B000008221,을지중학교,중학교,2004-03-01,공립,본교,운영,서울특별시 노원구 중계동 360-19,서울특별시 노원구 덕릉로 580 (중계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.64989011,127.0718351,2023-03-22
B000008428,용곡중학교,중학교,1983-05-04,공립,본교,운영,서울특별시 광진구 중곡동 176-77,서울특별시 광진구 용마산로22길 76 (중곡동. 용곡중학교),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.56576406,127.0887181,2023-03-22
B000008454,미양중학교,중학교,2009-06-10,공립,본교,운영,서울특별시 강북구 미아동 837-734,서울특별시 강북구 인수봉로 39 (미아동.미양중.고등학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.62333504,127.0125138,2023-03-22
B000008418,옥정중학교,중학교,1984-03-01,공립,본교,운영,서울특별시 성동구 옥수동 227,서울특별시 성동구 한림말길 11 . 옥정중학교 (옥수동),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.54153096,127.0124385,2023-03-22
B000008437,숭곡중학교,중학교,2011-03-01,공립,본교,운영,서울특별시 성북구 하월곡동 87-1,서울특별시 성북구 종암로 208 . 숭곡중학교 (하월곡동),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.60834499,127.0314837,2023-03-22
B000008245,대경중학교,중학교,1956-04-16,사립,본교,운영,서울특별시 중구 신당동 333-579,서울특별시 중구 매봉18길 111 (신당동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.55640804,127.0170862,2023-03-22
B000008252,배문중학교,중학교,1955-03-07,사립,본교,운영,서울특별시 용산구 서계동 259-3,서울특별시 용산구 효창원로 258 . 배문중학교 (서계동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.54989836,126.9638875,2023-03-22
B000008426,광양중학교,중학교,1986-04-18,공립,본교,운영,서울특별시 광진구 자양동 674,서울특별시 광진구 자양로3길 7 (자양동),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.53019592,127.0859539,2023-03-22
B000008183,문래중학교,중학교,1986-05-04,공립,본교,운영,서울특별시 영등포구 문래동6가 44,서울특별시 영등포구 선유서로13길 6 (문래동6가.문래중학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.52021484,126.8842481,2023-03-22
B000008382,상도중학교,중학교,1968-10-23,공립,본교,운영,서울특별시 동작구 사당동 181-20,서울특별시 동작구 사당로2가길 72 . 상도중학교 (사당동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.49037591,126.9616003,2023-03-22
B000008217,월계중학교,중학교,1980-04-09,공립,본교,운영,서울특별시 노원구 월계동 602-1,서울특별시 노원구 월계로45가길 54 (월계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.63040483,127.0520528,2023-03-22
B000008260,문정중학교,중학교,1990-01-20,공립,본교,운영,서울특별시 송파구 문정동 12-1,서울특별시 송파구 문정로 73 (문정동. 문정중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.48820001,127.1296588,2023-03-22
B000008459,서라벌중학교,중학교,1956-03-05,사립,본교,운영,서울특별시 강북구 우이동 103-9,서울특별시 강북구 삼양로155길 37-9 . 서라벌중학교 (우이동),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.6566057,127.0106736,2023-03-22
B000008108,신현중학교,중학교,1996-01-15,공립,본교,운영,서울특별시 중랑구 상봉동 483,서울특별시 중랑구 봉화산로 162 . 신현중학교 (상봉동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.60441346,127.0917351,2023-03-22
B000008167,구로중학교,중학교,1978-01-05,공립,본교,운영,서울특별시 구로구 구로동 90,서울특별시 구로구 구로중앙로 48 (구로동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.49424575,126.8907427,2023-03-22
B000008341,이수중학교,중학교,1982-09-21,공립,본교,운영,서울특별시 서초구 방배동 974-22,서울특별시 서초구 방배중앙로3길 32 (방배동. 이수중학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.48083668,126.990419,2023-03-22
B000008227,상명중학교,중학교,1937-12-01,사립,본교,운영,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553 (중계동.상명중학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.6490592,127.0679669,2023-03-22
B000008166,오류중학교,중학교,1976-04-06,공립,본교,운영,서울특별시 구로구 고척동 243,서울특별시 구로구 고척로27바길 19 (고척동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.50760048,126.8461243,2023-03-22
B000008361,대명중학교,중학교,1990-03-01,공립,본교,운영,서울특별시 강남구 대치동 952,서울특별시 강남구 역삼로87길 26 . 서울대명중학교 (대치동. 대명중학교),7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.50605865,127.061073,2023-03-22
B000008307,신월중학교,중학교,1981-03-02,공립,본교,운영,서울특별시 양천구 신월동 17-6,서울특별시 양천구 남부순환로29길 25 . 신월중학교 (신월동),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.54065764,126.8290847,2023-03-22
B000008390,동양중학교,중학교,1951-03-03,사립,본교,운영,서울특별시 동작구 흑석동 198-90,서울특별시 동작구 흑석로9길 94 . 동양중학교  (흑석동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.50981752,126.956867,2023-03-22
B000008441,북악중학교,중학교,1984-04-27,공립,본교,운영,서울특별시 성북구 정릉동 640-3,서울특별시 성북구 정릉로12길 41 (정릉동.북악중학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.60661327,127.001939,2023-03-22
B000008180,영원중학교,중학교,1950-06-07,공립,본교,운영,서울특별시 영등포구 영등포동 576-6,서울특별시 영등포구 영등포로62길 31 (영등포동.영원중학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.5156512,126.9140628,2023-03-22
B000008393,중앙대학교사범대학부속중학교,중학교,1934-04-15,사립,본교,운영,서울특별시 동작구 흑석동 86,서울특별시 동작구 서달로 124 (흑석동),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.50442443,126.9615341,2023-03-22
B000008249,한강중학교,중학교,1973-03-03,공립,본교,운영,서울특별시 용산구 서빙고동 4-1,서울특별시 용산구 녹사평대로 73 (서빙고동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.52423618,126.9920214,2023-03-22
