Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
21,19500,57.69,384272,3.399715185,102.6415939,101.3140411,100.7856598,128.7657623,158.0308838,27500,0.790526569,3.5,중랑구,연립다세대,202308,1261.635711,206.6513452,1741.126762
2,10702,59.83,479183,3.5,75.9,82.4,80.1,115.1916058,73.4,43833.33,1.463958502,2.75,강동구,아파트,201303,507.6726717,451.9767287,5847.763182
34,20000,65.16,433809,3.7,89.5,94.6,90.5,108.6054722,91,58500,0.967619601,1.25,강동구,아파트,201701,697.1847814,235.2935364,5054.448696
34,69000,104.02,435952,3.6,91,95.9,91.6,107.4712644,93.4,142250,1.057025018,1.25,서초구,아파트,201705,325.848964,194.5227765,1298.200861
38,54000,84.43,549396,3.6,92.2,96.5,92.3,101.8534863,98,123416.67,1.37598654,1.25,강남구,아파트,201708,540.6147552,335.4970315,3726.633606
36,52000,131.6,554870,2.9,75.3,82.1,79.4,109.2525068,72.1,147425,1.534955382,2.75,강남구,아파트,201212,892.0069638,316.6860017,1809.793132
19,41000,59.9,360221,3.4,98,101.1,99.1,112.0392157,131.7,62700,1.451422244,1.25,영등포구,아파트,201912,843.366729,364.4264539,3067.19583
17,21000,84.17,493515,3.8,79.6,86,83.4,114.3688451,76,25750,1.079200307,2.5,은평구,아파트,201404,264.7620399,164.6592358,879.5381668
29,20000,58.01,555097,3.3,93.1,97.2,93.3,100.1902588,100.9,31375,0.754199704,1.5,노원구,아파트,201712,735.2572227,156.0901922,313.7709768
37,25000,58.57,148098,3.3,93.1,97.2,93.3,100.1902588,100.9,32800,2.469909958,1.5,종로구,연립다세대,201712,1275.752498,398.3417662,579.4118925
14,33000,59.52,431841,3,77.5,83.6,81.1,117.2777269,73.7,75000,1.489794731,2.5,서초구,아파트,201308,440.0562195,214.4018258,770.0134201
16,13000,49.77,359554,3.5,73.1,79.9,77.7,114.47258,78,18375,1.066717148,3.25,도봉구,아파트,201201,943.2534927,393.85309,3093.348071
29,80000,121.23,651722,4.1,90.4,95.3,91,107.6345984,91.7,115655.56,0.830784313,1.25,송파구,아파트,201703,558.2360098,228.8627707,528.6084446
7,40000,84.43,486578,3.6,86.7,92.1,89.2,115.7871199,86.6,72166.67,0.907574954,1.25,은평구,아파트,201606,79.59479826,334.3715965,3939.510015
23,39900,59.9,393517,4.1,107.6,107,106.7,91.8781238,181.5,93000,0.772777081,1.25,구로구,아파트,202201,729.6129788,128.2526419,1286.579629
18,38000,59.84,475845,3.6,87.5,92.9,89.5,115.9660107,89.2,59850,0.853386462,1.25,양천구,아파트,201608,419.3764003,118.2333247,2709.975968
28,13700,38,565244,3.6,86.4,91.7,89,115.2504472,85.5,26514,0.795326429,1.5,노원구,아파트,201605,190.8442546,241.6235693,569.024065
22,41000,59.76,560257,4.9,85.5,91,88.4,116.5921288,84.5,82900,1.424301744,1.5,강남구,아파트,201602,508.916428,176.9358054,5734.754211
23,31000,69.17,493055,3,96.9,100.5,98.7,99.98039216,127.1,45800,1.02989558,1.25,관악구,아파트,201910,1433.013577,77.78923272,1780.116892
15,35500,59.99,432108,3.6,94.6,98.4,95.4,98.28767123,121.5,74125,0.679492592,1.5,성북구,아파트,201809,344.5426953,221.9494727,1174.43707
41,52500,82.45,662838,3.4,102.6,101.3,100.8,128.8196959,158.1,180500,0.80275876,0.5,송파구,아파트,202011,225.1329818,322.6568519,2508.127694
0,14000,17.47,656198,3.2,94.7,98.6,96.1,91.40030441,120.6,22240,0.862203362,1.75,송파구,오피스텔,201811,0,416.8895341,3850.882397
