Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,마포구,11440,오피스텔,20366.43,43.3,482.15,145.85,37,13400.0,40.14,363.34,109.91,25,65.79,92.7,75.36,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서대문구,11410,단독다가구,46466.14,137.72,379.76,114.88,14,7156.38,50.0,159.86,48.36,149,15.4,36.31,42.1,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서대문구,11410,아파트,36379.54,82.68,448.57,135.69,61,21466.84,75.35,284.04,85.92,201,59.01,91.13,63.32,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서대문구,11410,연립다세대,17426.93,55.25,322.42,97.53,70,10417.53,54.63,196.47,59.43,97,59.78,98.88,60.94,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서대문구,11410,오피스텔,17960.0,35.82,512.6,155.06,10,13800.0,41.18,389.33,117.77,10,76.84,114.96,75.95,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서초구,11650,단독다가구,144480.0,223.39,727.11,219.95,5,12368.18,58.64,232.28,70.26,88,8.56,26.25,31.95,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서초구,11650,아파트,92191.67,107.55,871.08,263.5,83,39859.89,96.22,417.46,126.28,521,43.24,89.47,47.92,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서초구,11650,연립다세대,34720.73,62.39,579.19,175.2,30,18326.59,59.43,323.09,97.74,173,52.78,95.26,55.78,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,서초구,11650,오피스텔,21002.38,37.45,550.78,166.61,42,12700.0,30.64,398.09,120.43,5,60.47,81.82,72.28,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성동구,11200,단독다가구,72750.0,170.26,502.89,152.12,6,7959.77,47.35,192.18,58.14,174,10.94,27.81,38.22,3.0,3.1,74.5,81.5,78.5,102.461258
