"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2002","관악구","계",524985.5,29649.5,29676,26344,31269.5,53057,70574,61305,41793,40506,35375,30570,26279.5,21190.5,12061.5,6981.5,4206.5,2511,1159.5,386.5,71,19
"2002","서초구","계",391552.5,18224.5,20867.5,24978,29578.5,38857.5,43557,38795,29374.5,33953.5,33149,25996.5,20018.5,13318.5,7897,5207,3800.5,2334.5,1163.5,393,75,13.5
"2002","강남구","계",537889,23845.5,27897,35794.5,44152,54788.5,58837,51455,38961.5,48869.5,48482,35439.5,25609,16332.5,9677.5,6827,5315,3356,1610.5,537.5,79,23
"2002","송파구","계",651260,36224,42281,44899.5,50839,60585,64435.5,64762.5,54737.5,61986.5,54647.5,37917.5,26962,18896.5,12341,8366,5742,3452.5,1596,481.5,94,13
"2002","강동구","계",485355.5,26063,31521,34834,39614,46007,43666,44287.5,40994,49780,42581,28719.5,19670,13701.5,9009,6290.5,4497.5,2578.5,1095.5,364,66,16
"2003","서울특별시","계",10190690.5,536803,624152.5,646952.5,667904.5,927041,1012848,1066284.5,866654.5,913775,809286.5,594019,484816.5,410307,266029.5,162511.5,102250,61813,26784,8607.5,1544.5,306
"2003","종로구","계",179375,7450.5,9698,11509,11466.5,15224,16897.5,17712.5,14855.5,16093.5,13848.5,10306.5,9389.5,9307,6491,3996,2593.5,1591.5,661.5,219,54,10
"2003","중구","계",136341,6607,7384.5,7070,7391,11810.5,13476.5,14947.5,11703,11339.5,10392,8063.5,7320,7152,4843,3030,1986,1164.5,447,168,39.5,6
"2003","용산구","계",233262,11837,12770,12480,12624,19780.5,22998,26007.5,20101.5,19815.5,17172.5,13116.5,12154,12052,8763.5,5376.5,3298,1841.5,764,254,47,8.5
"2003","성동구","계",340070.5,19892,21113,19383,18983,29826.5,35343,39397.5,30929.5,29192,24272.5,18480.5,16157.5,15003,10003.5,5694,3331,1894.5,841,264.5,56.5,12.5
"2003","광진구","계",385720,21066,24546.5,24645,24699,35765,43198,43202,34127,34681.5,28906,20416,16552,13873,8566,5077,3272,1930.5,863.5,264,57.5,12.5
"2003","동대문구","계",382358,18769.5,22091,21513,22896,36685.5,39586.5,39321.5,31641.5,32255,28895,22620,20130,18658,12254,7044.5,4181.5,2418.5,1006.5,324,50,16.5
"2003","중랑구","계",439107,22867,28959,29346,29123,40287,40773.5,44080,39458,41048,34822,25044.5,20456.5,17720.5,10907,6437.5,3984,2405.5,998,326,52.5,11.5
"2003","성북구","계",448433,22675,26058.5,25360.5,26956,40917,44671.5,47037,37335.5,38182.5,33761,26334.5,24007.5,22302.5,14648,8403,5063,2948,1267,429,62,14
"2003","강북구","계",361279.5,18286.5,21395.5,20648.5,21679.5,32716.5,36116.5,37527,29814,30378.5,27017.5,21944,20333.5,18697,11288,6154.5,3609.5,2315.5,965,323,60.5,9
"2003","도봉구","계",374255,20431,25277.5,26835.5,27204,31282,30081,36358.5,33052.5,36662,31897,20812.5,16599,14675.5,9749,6158.5,3736.5,2138,947,308.5,38.5,11
"2003","노원구","계",636791.5,38423.5,45009.5,47266.5,46577.5,52227.5,49103,63879,57279,62789,53722,33829,24900.5,21927,15708.5,10839,6945.5,4105,1658.5,483.5,96.5,22
"2003","은평구","계",472491.5,25603.5,29836.5,29937.5,29541,40238,44845.5,50007.5,40312,41447,36168.5,27017.5,23895.5,21715,14128.5,8212.5,4851,2847,1342.5,460.5,66,18.5
"2003","서대문구","계",359183.5,19946.5,21758.5,20497,20683.5,31285.5,36620.5,39601.5,30836.5,30149,25717,19356,17891.5,17893,12143,6924.5,4111.5,2367,1019.5,318.5,54.5,9
"2003","마포구","계",377434,21240,22059.5,20078.5,20228,33285.5,43114.5,45352.5,32767.5,30472.5,26056.5,20223.5,18494,17296,11783,7041,4057.5,2416,1067,330.5,58,12.5
"2003","양천구","계",485740,24839,33938.5,38922,38061,42680.5,38383.5,42827.5,43380,51257,43332.5,28409.5,19457.5,14729.5,9976.5,6926,4456.5,2654.5,1122,319,55.5,12
