Region_Name,Building_Age,Building_Use,JS_Price,JS_BA,Population,IR,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ,YearMonth,Shortest_Distance_to_Park
마포구,8,아파트,22000,59.92,380090.52,2.75,4.5,72.3,78.2,74.5,111.25995692899994,82.0,45200.0,1.4575049710200008,1528.3232237725329,204.52844608688142,2849.7678541368505,201102,376.4344473664282
광진구,25,아파트,29000,79.75,364963.0,2.5,3.1,76.8,83.2,80.8,111.1824015,73.5,38450.0,1.6609473340000027,916.5064002041782,132.8587045427917,1000.1165843664216,201306,1782.9841365974114
노원구,28,아파트,20000,54.02,555097.0,1.25,4.9,90.0,94.9,90.7,108.4289497,91.0,24100.0,0.754199704,599.574339789688,212.38065315117484,878.263894092489,201702,2127.508011713062
마포구,10,아파트,55000,135.38,376908.0,2.75,3.9,75.7,82.4,79.9,110.3919781,72.7,65000.0,1.588550727700001,418.3225230984561,115.5489261490575,239.35913170619745,201302,1320.200022801446
영등포구,21,아파트,32500,82.77,373359.0,2.0,4.5,82.5,88.1,85.4,116.8157424,78.6,44700.0,1.64356611,466.64864843813245,453.76371632470347,3526.3333283794045,201502,1504.8931294170084
강남구,41,아파트,66000,84.43,530126.0,0.5,4.0,99.6,98.8,100.0,117.4511224,147.2,213333.33,1.352069184,540.6147551950808,335.49703149671353,3726.633605572963,202007,1725.2907431105607
성북구,12,아파트,34000,84.84,455617.0,1.5,3.1,85.2,90.7,87.4,122.7862254,84.4,44095.83,0.884657978,278.47335115264974,223.24559392151977,1086.8450718844144,201510,1532.8112757548104
노원구,32,아파트,25000,49.94,522235.0,0.5,3.7,101.8,100.6,100.6,125.0181028,155.2,58555.56,0.710203555,448.69994374475544,203.89752622246309,1283.8445939730634,202010,1733.7519357610083
은평구,3,아파트,22000,84.51,489536.0,2.75,2.9,75.3,82.1,79.4,109.2525068,72.1,40000.0,0.9584116636099996,650.2578997973897,238.79530482328965,4282.244960670797,201212,1009.9432672156938
서초구,43,아파트,27000,75.86,411435.0,1.0,3.5,107.3,106.2,106.3,94.65590158,182.5,298000.0,0.878493489,1227.0430844560549,193.14733273337976,712.7273218607922,202112,1879.7796641909435
노원구,21,아파트,46000,84.9,532511.0,1.5,3.0,95.9,100.0,98.2,92.76470588,123.8,72800.0,0.772934452,774.4243375179389,173.86877379626597,622.4411424346738,201908,1774.5990254537473
송파구,7,아파트,40000,84.94,654241.0,1.5,3.6,84.1,88.5,86.5,120.6171735,82.5,58625.0,1.015461137,766.0021675699173,254.09076747426428,3984.8778805893276,201507,533.8965668891477
영등포구,15,오피스텔,30450,72.13,366258.0,0.5,3.1,100.4,99.3,100.2,120.7096307,151.9,48933.33,1.280663382,155.1064806764572,159.08650782538302,2837.669393115875,202008,1626.3155548069578
성동구,34,아파트,60000,142.26,291841.0,0.75,4.2,98.5,99.2,99.4,106.8940493,134.5,121500.0,0.786010216,656.4532003453628,207.86754661528525,2054.104808563102,202004,853.7896580330475
성동구,11,아파트,50000,59.99,300991.0,1.5,4.0,94.4,98.6,95.2,93.91171994,115.0,92933.33,0.776394081,412.6587376309693,159.94216124814568,2633.034869428581,201808,172.38966221372314
강서구,4,오피스텔,17900,21.89,571614.0,0.5,4.0,106.3,103.7,103.2,110.2824041,173.8,22627.27,0.671992935,447.4857321975425,500.2755572999742,2379.854897116065,202105,1262.9827921636318
마포구,23,아파트,27000,79.97,377446.0,2.0,3.0,81.4,86.6,84.9,115.7564906,77.5,54400.0,1.450117475,343.01829454556326,351.37715325388484,735.83054509085,201411,1503.786373808958
마포구,36,아파트,31920,59.43,363333.9,3.25,3.0,109.5,108.4,112.4,94.31479038259998,141.8,87500.0,0.94008017155,762.2858713945817,178.96898175370842,2080.1109806349255,202212,765.1299427902052
강서구,6,아파트,16000,58.55,591554.0,1.25,4.1,90.4,95.3,91.0,107.6345984,91.7,26075.0,0.844218297,1589.4831476321565,451.2602199767019,2289.7507341150713,201703,914.4231789704313
성북구,28,아파트,29500,84.8,431427.0,1.25,3.4,98.0,101.1,99.1,112.0392157,131.7,45760.0,0.632663653,699.4774232767422,212.9867380641596,1330.5972070863784,201912,740.3460861934228
송파구,6,아파트,47000,84.94,662392.0,2.75,3.5,75.9,82.4,80.1,115.1916058,73.4,68405.56,1.191436660999998,698.1319711031323,191.2851414062662,2381.089820330579,201303,630.9935460286072
영등포구,20,오피스텔,11300,27.72,366258.0,1.25,4.1,98.3,101.4,99.3,112.3004354,132.7,12800.0,1.280663382,360.50633865625156,265.1562473357278,3627.107875050224,202001,658.2942666675821
강남구,17,아파트,40000,84.52,561070.0,2.5,3.4,78.9,85.3,82.5,120.5908684,75.0,67068.75,1.517021284,787.2236714453174,764.4727989994583,775.9523842712678,201401,1554.3495804567394
마포구,36,아파트,40000,59.43,362719.0,1.25,3.4,107.7,107.4,107.2,89.56170704,179.3,130000.0,0.9348114269999998,762.2858713945817,178.96898175370842,2080.1109806349255,202202,765.1299427902052
성북구,14,아파트,26000,84.96,464356.0,2.5,3.8,79.6,86.0,83.4,114.3688451,76.0,27042.86,0.967726347,837.7348573978063,408.82759576016286,1169.075694073129,201404,970.0275773090134
용산구,3,오피스텔,23000,29.97,219034.0,1.5,4.0,94.4,98.6,95.2,93.91171994,115.0,29400.0,1.391733649,509.9579197045988,364.0714231574561,1031.7850625555768,201808,1140.7601677805087
성동구,11,아파트,26000,59.76,295034.0,3.0,2.9,74.5,81.2,78.8,110.8477666,73.2,46900.0,1.0848886034799998,830.3771727230609,275.02111631162023,1135.3835239010507,201209,1268.08532749303
노원구,25,아파트,14000,58.01,587991.0,2.75,3.9,75.7,82.4,79.9,110.3919781,72.7,22850.0,0.906348471759999,190.8442546484627,241.62356926214022,569.0240650456778,201302,1407.2053928681505
