Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ,Shortest_Distance_to_Park
14,20000,84.93,580904,3.5,79.7,85.9,83.6,110.2506714,75.7,29500.0,0.906398023,2.5,노원구,아파트,201405,966.8937688936193,518.4920920656781,469.233582723079,2209.6589193871896
28,13000,45.27,394875,4.5,72.3,78.2,74.5,114.2539291381836,82.0,46656.67,1.1715048551559448,2.75,영등포구,아파트,201102,451.3670906834367,82.9051706725755,2929.3783990531842,1354.4522252743268
12,41000,84.97,489798,4.3,99.0,98.5,99.8,112.9172714,140.0,60401.61,1.03196725,0.5,관악구,아파트,202006,2930.860723588403,403.17119498296023,3803.098536530927,1421.177752459939
36,34000,53.88,435952,4.1,90.4,95.3,91.0,107.6345984,91.7,90075.0,1.057025018,1.25,서초구,아파트,201703,278.045633668766,424.2217584569173,1576.9390974310027,2291.111302860036
12,26000,59.75,387175,3.5,74.3,80.8,78.0,114.38070678710938,76.2,49600.0,1.2143324613571167,3.25,영등포구,아파트,201204,360.64195943723763,258.58193652195285,3005.3292527129584,1427.8532281792075
33,40000,84.83,651722,4.1,90.4,95.3,91.0,107.6345984,91.7,79750.0,0.830784313,1.25,송파구,아파트,201703,980.8640669016147,341.9513856124626,1912.3640896881368,981.1007199607594
6,16000,22.63,571614,4.0,106.3,103.7,103.2,110.2824041,173.8,17066.67,0.671992935,0.5,강서구,오피스텔,202105,1008.9458452750988,299.2525481519452,1908.4041139223311,695.6655353544785
23,65000,84.02,279374,2.7,109.8,110.3,113.7,82.88235294,152.8,156000.0,0.9202701449394226,3.5,성동구,아파트,202305,866.4995448934279,236.6849018294541,1750.2140643423609,330.9862875595253
37,43000,91.01,396843,3.8,106.9,103.8,103.4,117.2338885,177.7,56400.0,0.827708037,0.5,구로구,아파트,202106,514.8676682908944,365.9186168205709,2172.4340672964313,2522.0804105357965
20,21000,49.08,450971,4.1,98.6,101.0,99.5,109.6879536,134.6,47357.14,0.702519327,1.25,양천구,아파트,202002,935.834788848771,257.94727940958984,1634.328959574335,378.16288174502137
12,22000,51.58,654241,3.1,85.2,90.7,87.4,122.7862254,84.4,20277.78,1.015461137,1.5,송파구,연립다세대,201510,311.8105111718638,333.04238684337963,3711.3580713327447,502.0688852893145
50,52500,118.12,372443,4.3,104.9,102.3,102.2,119.4605358,169.3,198166.67,1.042383789,0.5,영등포구,아파트,202103,649.656008631024,250.23563983202547,2506.3707387513646,686.3135757674046
8,22000,29.96,655395,4.0,105.6,103.4,102.7,109.7212165,170.8,29921.05,0.709977183,0.5,송파구,오피스텔,202104,660.3834350552104,717.1015596789507,4499.849668590451,934.4365492607631
17,30000,142.98,306297,3.2,81.1,86.5,84.7,117.0098478,77.5,39000.0,1.307108062,2.0,서대문구,아파트,201410,454.6100945877106,257.5733300124834,327.0783451597662,1635.6636959534612
26,12500,48.96,352013,4.5,79.2,85.6,82.7,121.038496,75.7,19850.0,0.878238575,2.5,도봉구,아파트,201402,1415.0691647832298,340.35841659768926,1449.1818681292498,302.48395203831996
26,60000,84.27,560257,3.9,86.1,91.2,88.8,114.5348837,84.8,78000.0,1.424301744,1.5,강남구,아파트,201604,775.8585037775306,467.65831609529613,3571.731309699601,1507.3776285201977
25,20000,51.66,532511,4.4,95.5,98.8,97.2,71.09803922,116.1,32750.0,0.772934452,1.75,노원구,아파트,201904,1413.75206565251,482.0064000481348,3331.0461975122225,1430.0518582937711
5,52500,59.23,456069,2.6,107.1,105.3,105.7,100.1345636,185.0,170400.0,0.741309232,1.0,강동구,아파트,202111,874.7530594727165,237.36726190242518,3943.0189670709974,939.9063060515964
32,18300,49.94,522235,4.2,98.5,99.2,99.4,106.8940493,134.5,44200.0,0.710203555,0.75,노원구,아파트,202004,798.1819411797925,233.85810204518543,1636.6672831227406,1913.20714938524
13,78000,84.6,291841,4.3,99.0,98.5,99.8,112.9172714,140.0,123133.33,0.786010216,0.5,성동구,아파트,202006,412.6587376309693,159.94216124814568,2633.034869428581,172.38966221372314
7,30000,112.92,357538,3.0,81.4,86.6,84.9,115.7564906,77.5,43390.91,1.15938871,2.0,동대문구,아파트,201411,836.8772773909393,183.11123502642542,1662.2950498200871,1132.0174099607486
31,57750,141.52,362719,4.1,107.6,107.0,106.7,91.8781238,181.5,146500.0,0.8191155791282654,1.25,마포구,아파트,202201,343.01829454556326,351.37715325388484,735.83054509085,1503.786373808958
29,60000,131.06,392903,3.4,91.8,96.3,92.0,107.9063604,97.8,76115.38,0.815191448,1.25,동작구,아파트,201707,1023.4546044499946,432.34894828020975,1147.8950594978148,861.4834612608963
12,80000,84.99,662838,4.3,99.0,98.5,99.8,112.9172714,140.0,167833.33,0.80275876,0.5,송파구,아파트,202006,290.67640326316655,40.45509270478124,3502.5001761340413,1154.5593421986937
17,16000,84.92,308639,2.8,74.7,81.3,79.0,109.2980857,73.1,26262.5,1.4653059244155884,2.75,서대문구,아파트,201210,1092.5840738922889,262.6783898036983,387.43297364742796,2059.6219861452564
29,55000,84.9,299044,3.1,97.5,100.5,98.8,102.1764706,129.5,106000.0,0.813000236,1.25,성동구,아파트,201911,405.9324006185157,322.0361113646551,2543.4870420082602,205.7730694291927
28,14000,39.91,543267,3.6,94.6,98.4,95.4,98.28767123,121.5,33020.97,0.730990952,1.5,노원구,아파트,201809,1104.823140521928,89.36198609917352,486.11889457841113,1135.3796255264513
33,26000,49.94,512274,4.0,105.6,103.4,102.7,109.7212165,170.8,68060.0,0.665118284,0.5,노원구,아파트,202104,448.69994374475544,203.89752622246309,1283.8445939730634,1733.7519357610083
