호선,역명,구주소,도로명주소,위도,경도,Region_Name
7호선,면목,서울특별시 중랑구 면목동 282-6 면목역(7호선),서울특별시 중랑구 면목로 지하407(면목동) ,37.5845464,127.0905862,중랑구
7호선,사가정,서울특별시 중랑구 면목동 495 사가정역(7호선),서울특별시 중랑구 사가정로 지하393(면목동),37.5719656,127.0845223,중랑구
7호선,용마산(용마폭포공원),서울특별시 중랑구 면목동 1316-5 용마산역(7호선),서울특별시 중랑구 용마산로 지하227(면목동),37.5712405,127.0861385,중랑구
7호선,중곡,서울특별시 광진구 중곡동 273-2 7호선 중곡역(7호선),서울특별시 광진구 능동로 지하417(중곡동),37.563544,127.0888304,광진구
7호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(7호선),서울특별시 광진구 천호대로 지하550(능동),37.5505785,127.0817378,광진구
7호선,어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역(7호선),서울특별시 광진구 능동로 지하210(화양동),37.5471794,127.0729432,광진구
7호선,건대입구,서울특별시 광진구 화양동 6-3 건대입구역(7호선),서울특별시 광진구 능동로 지하110(화양동),37.5463089,127.0729231,광진구
7호선,뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역(7호선),서울특별시 광진구 능동로 10(자양동),37.540458,127.066694,광진구
7호선,청담,서울특별시 강남구 청담동 77-76 청담역(7호선),서울특별시 강남구 학동로 지하508(청담동),37.5167317,127.042221,강남구
7호선,강남구청,서울특별시 강남구 삼성동 111-44 강남구청역(7호선),서울특별시 강남구 학동로 지하346(삼성동),37.5167317,127.042221,강남구
7호선,학동,서울특별시 강남구 논현동 279-67 학동역(7호선),서울특별시 강남구 학동로 지하180(논현동),37.5077821,127.0272107,강남구
7호선,논현,서울특별시 강남구 논현동 279-67 논현역(7호선),서울특별시 강남구 학동로 지하102(논현동),37.5201287,127.0393976,강남구
7호선,반포,서울특별시 서초구 잠원동 103 반포역(7호선),서울특별시 서초구 신반포로 지하241(잠원동),37.5151065,127.0137779,서초구
7호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),서울특별시 서초구 신반포로 지하188(반포동),37.5054982,127.0011512,서초구
7호선,내방,서울특별시 서초구 방배동 874-16 내방역(7호선),서울특별시 서초구 서초대로 지하103(방배동),37.4910405,127.004581,서초구
7호선,이수,서울특별시 동작구 사당동 144-4 이수역(7호선),서울특별시 동작구 사당로 지하310(사당동),37.4889312,126.9691198,동작구
7호선,남성,서울특별시 동작구 사당동 산25-33 남성역(7호선),서울특별시 동작구 사당로 지하218(사당동),37.4889312,126.9691198,동작구
7호선,숭실대입구(살피재),서울특별시 동작구 상도동 514 숭실대입구역(7호선),서울특별시 동작구 상도로 지하378(상도동),37.4990513,126.9422048,동작구
7호선,상도,서울특별시 동작구 상도1동 702-1 상도역(중대입구역)(7호선),서울특별시 동작구 상도로 지하272(상도1동),37.5032626,126.9506566,동작구
7호선,장승배기,서울특별시 동작구 상도동 26-20 장승배기역(7호선),서울특별시 동작구 상도로 지하188(상도동) ,37.4990513,126.9422048,동작구
7호선,신대방삼거리,서울특별시 동작구 대방동 406-10 신대방삼거리역(7호선),서울특별시 동작구 상도로 지하76(대방동),37.5143563,126.932638,동작구
7호선,보라매,서울특별시 동작구 대방동 466-51 보라매역(7호선),서울특별시 동작구 상도로 지하2(대방동),37.5062327,126.93435,동작구
7호선,신풍,서울특별시 영등포구 신길동 3599 신풍역(7호선),서울특별시 영등포구 신풍로 지하27(신길동),37.5001413,126.9131951,영등포구
