Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
13300.0,8,7465.79,38,56.13,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,517095,1.0,2,55,4
27818.33,12,16730.77,13,60.14,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,366312,3.0,2,42,11
14550.8,25,13457.14,63,92.48,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,422946,3.0,4,54,7
9030.0,3,7703.7,27,85.31,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,239085,0.0,4,33,1
11584.62,13,13000.0,13,112.22,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,594568,7.0,2,93,13
12968.75,8,11625.0,12,89.64,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,359554,1.0,6,46,3
13327.2,30,8968.75,16,67.3,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,357595,5.0,4,47,6
19519.33,3,18250.0,2,93.5,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,397899,3.0,7,44,12
21780.26,38,16430.56,36,75.44,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,380669,3.0,5,45,16
13352.5,20,13541.67,12,101.42,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,308639,9.0,4,40,5
19920.21,47,13785.71,14,69.2,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,427540,3.0,6,50,12
15758.57,14,9590.48,21,60.86,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,295034,2.0,5,41,14
20312.0,2,14750.0,2,72.62,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,475852,7.0,3,60,9
20656.89,18,13066.67,12,63.26,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,669058,1.0,7,89,28
22521.05,19,29956.41,39,133.02,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,492793,0.0,5,64,5
19231.72,53,16202.46,122,84.25,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,387175,0.0,5,44,11
23553.31,16,22045.45,11,93.6,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,235931,2.0,2,34,10
9800.0,5,8812.5,16,89.92,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,489536,1.0,7,66,13
20017.96,24,13428.57,7,67.08,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,161487,6.0,12,36,15
18707.69,13,11885.71,7,63.53,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,129204,2.0,4,31,23
12425.0,4,9615.38,13,77.39,2.8,74.7,81.3,79.0,109.2980857,2.75,1.5488460135849778,415245,1.0,6,48,8
24490.67,63,19073.91,23,77.88,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,554870,1.0,7,77,21
13239.72,18,12084.62,26,91.28,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,484742,0.0,7,60,14
11650.0,2,7000.0,4,60.09,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,338041,1.0,4,34,3
11223.34,29,11788.89,18,105.04,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,561431,2.0,9,80,9
14003.85,13,7848.0,50,56.04,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,517095,1.0,2,55,4
17800.0,7,17400.0,10,97.75,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,366312,3.0,2,42,11
15519.05,21,12754.24,59,82.18,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,422946,3.0,4,54,7
12675.0,12,11550.0,10,91.12,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,594568,7.0,2,93,13
14442.86,7,12020.0,10,83.22,2.8,75.0,81.7,79.2,116.9553327,2.75,1.5488460135849778,359554,1.0,6,46,3
